epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,81.4401,0.90671,2.1756,0.91223,0,0,0,0,1.25043,4.15022,1.04507,0.0751263,0.00012625,0.00012625
27,84.2013,0.88124,2.30158,1.04365,0,0,0,0,1.25043,4.15022,1.04507,0.0741262,0.000126152,0.000126152
28,87.3042,1.03889,2.57452,0.88481,0,0,0,0,1.19136,4.11245,1.01533,0.0731257,0.000125658,0.000125658
29,90.2395,0.89046,2.51376,0.93603,0,0,0,0,1.19136,4.11245,1.01533,0.0721248,0.000124768,0.000124768
30,93.1651,0.92395,2.40878,0.93005,0,0,0,0,1.19136,4.11245,1.01533,0.0711235,0.000123482,0.000123482
31,95.9832,0.69824,2.25588,0.91873,0,0,0,0,1.09208,4.10335,0.99246,0.0701218,0.0001218,0.0001218
32,98.4242,0.75479,1.80652,0.94559,0,0,0,0,1.09208,4.10335,0.99246,0.0691197,0.000119722,0.000119722
33,100.837,0.94571,2.12629,0.93943,0,0,0,0,1.09208,4.10335,0.99246,0.0681172,0.000117248,0.000117248
34,103.351,0.85092,2.32329,0.78183,0,0,0,0,1.04751,4.09262,0.96795,0.0671144,0.000114378,0.000114378
35,105.88,1.03153,2.1531,0.86263,0,0,0,0,1.04751,4.09262,0.96795,0.0661111,0.000111112,0.000111112
36,108.503,0.87633,2.40599,1.06331,0,0,0,0,1.04751,4.09262,0.96795,0.0651075,0.00010745,0.00010745
37,111.126,1.07844,2.85328,0.83795,0,0,0,0,1.04751,4.09262,0.96795,0.0641034,0.000103392,0.000103392
38,113.786,0.78818,3.39548,1.16211,0,0,0,0,1.05038,4.05761,0.94099,0.0630989,9.8938e-05,9.8938e-05
39,116.418,0.64975,1.90203,0.78704,0,0,0,0,1.05038,4.05761,0.94099,0.0620941,9.4088e-05,9.4088e-05
40,118.963,0.96544,1.60406,0.91319,0,0,0,0,1.05038,4.05761,0.94099,0.0610888,8.8842e-05,8.8842e-05
41,121.504,0.73513,1.85193,0.94424,0,0,0,0,1.05038,4.05761,0.94099,0.0600832,8.32e-05,8.32e-05
42,123.969,0.61896,1.79727,0.90331,0,0,0,0,1.03061,4.01264,0.91436,0.0590772,7.7162e-05,7.7162e-05
43,126.408,0.74526,1.77976,0.8922,0,0,0,0,1.03061,4.01264,0.91436,0.0580707,7.0728e-05,7.0728e-05
44,128.989,0.8301,1.68862,0.94337,0,0,0,0,1.03061,4.01264,0.91436,0.0570639,6.3898e-05,6.3898e-05
45,131.524,0.81933,1.87818,0.89258,0,0,0,0,1.03061,4.01264,0.91436,0.0560567,5.6672e-05,5.6672e-05
46,133.929,0.76935,2.18404,0.84663,1,0.25,0.625,0.625,0.93473,3.95237,0.88961,0.0550491,4.905e-05,4.905e-05
47,136.364,0.60054,1.56719,0.90434,1,0.25,0.625,0.625,0.93473,3.95237,0.88961,0.054041,4.1032e-05,4.1032e-05
48,138.728,0.79585,1.70911,0.89541,1,0.25,0.625,0.625,0.93473,3.95237,0.88961,0.0530326,3.2618e-05,3.2618e-05
49,141.176,0.83584,1.59824,0.95693,1,0.25,0.625,0.625,0.93473,3.95237,0.88961,0.0520238,2.3808e-05,2.3808e-05
50,143.607,0.79377,1.66756,0.82325,1,0.25,0.625,0.625,0.86569,3.90024,0.88181,0.0510146,1.4602e-05,1.4602e-05
1,1.35186,0,7.9178,0,0,0,0,0,0,4.95023,0,0.1,0,0
2,2.11228,0,6.23723,0,0,0,0,0,0,3.92886,0,0.0990098,9.802e-06,9.802e-06
